String,Coverage
animal.?,A
aquari.?.?.?,A
bird.?.?.?,A
butterfl.?.?.?,A
cosmetic.?.?.?.?,All
curio.?,All
egg.?,A
falcon.?.?.?.?.?,A
fin.?,A
fish.?.?.?.?.?,A
flower.?,P
food,All
fur.?,A
horticulur.?.?,P
illegal.?.?,All
live.?animal.?,A
medicin.?.?,All
ornamental.?.?,All
pet.?,A
plant.?,P
report.?.?,All
scien.?.?.?.?.?,All
seed.?.?.?.?.?,P
shell.?,A
skin.?,A
specimen.?,All
succulent,P
timber,P
troph.?.?.?,A
wood,P
zoo.?,A
