String,Coverage
animal.?,A
aquari.?.?.?,All
aquari.?.?.? pet.?,A
aviar.?.?.?,A
bird.?.?.?,A
cage.?bird.?,A
cosmetic.?.?.?.?,All
curio.?,All
egg,A
falcon.?.?.?.?.?,A
fin.?,A
fish.?.?.?.?.?,A
food,All
hardwood,P
line.?fish.?.?.?.?.?,A
liv.?.?.? animal.?,A
medicin.?.?,All
ornamental.?.?,All
pet.?,A
plant.?,P
scien.?.?.?.?.?,All
seed.?,P
shell,A
skin,A
specimen,All
sport.? fish.?.?.?.?.?,A
succulent.?,P
timber.?,P
traditional medicin.?.?,All
troph.?.?.?,A
wildflower.?,P
wood,P
zoo.?,A
