String,Coverage
.?trad.?.?.?,All
.?collect.?.?.?.?,All
.?trapp.?.?.?.?,A
.?utilis.?.?.?.?.?.?,All
.?export.?.?.?.?.?.?,All
.?harvest.?.?.?,All
.?exploit.?.?.?.?.?.?,All
.?hunt.?.?.?,A
.?selective.?.? fell,P
.?selective.?.? logg.?.?.?,P
.?logg.?.?.?,P
.?remov.?.?,All
